State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-01-28,Degrees Fahrenheit,None,24,100,40.958333,51,17,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-01-29,Degrees Fahrenheit,None,24,100,41.5,50,11,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-01-30,Degrees Fahrenheit,None,24,100,34.083333,41,13,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-01-31,Degrees Fahrenheit,None,24,100,32,45,16,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-01,Degrees Fahrenheit,None,24,100,36.708333,48,16,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-02,Degrees Fahrenheit,None,24,100,48.625,59,15,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-03,Degrees Fahrenheit,None,24,100,42.625,53,0,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-04,Degrees Fahrenheit,None,24,100,31.416667,35,15,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-05,Degrees Fahrenheit,None,24,100,31.625,34,21,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-06,Degrees Fahrenheit,None,24,100,37.583333,47,17,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
